i,Length_LCS,time
3740,838,0.127
3750,835,0.149
3760,832,0.118
3770,862,0.132
3780,840,0.133
3790,865,0.136
3800,854,0.127
3810,856,0.137
3820,861,0.139
3830,859,0.139
3840,867,0.153
3850,862,0.136
3860,871,0.138
3870,861,0.146
3880,878,0.134
3890,869,0.131
3900,868,0.136
3910,877,0.132
3920,897,0.135
3930,879,0.133
3940,889,0.134
3950,888,0.134
3960,894,0.132
3970,900,0.139
3980,894,0.134
3990,898,0.135
4000,911,0.149
4010,903,0.131
4020,905,0.149
4030,894,0.134
4040,900,0.133
4050,906,0.149
4060,910,0.134
4070,912,0.148
4080,919,0.173
4090,924,0.167
4100,912,0.144
4110,925,0.15
4120,924,0.152
4130,921,0.155
4140,928,0.145
4150,932,0.163
4160,935,0.165
4170,944,0.154
4180,937,0.162
4190,956,0.151
4200,932,0.152
4210,941,0.148
4220,953,0.164
4230,942,0.148
4240,956,0.168
4250,949,0.153
4260,956,0.146
4270,960,0.143
4280,964,0.15
4290,964,0.166
4300,954,0.166
4310,967,0.15
4320,971,0.156
4330,961,0.155
4340,967,0.163
4350,972,0.168
4360,977,0.181
4370,980,0.168
4380,992,0.167
4390,982,0.152
4400,982,0.167
4410,988,0.172
4420,998,0.156
4430,982,0.181
4440,1000,0.164
4450,1005,0.171
4460,1000,0.179
4470,996,0.166
4480,1001,0.167
4490,1019,0.183
4500,1006,0.166
4510,1012,0.184
4520,1021,0.181
4530,1015,0.216
4540,1022,0.182
4550,1021,0.181
4560,1019,0.172
4570,1034,0.178
4580,1038,0.177
4590,1023,0.176
4600,1034,0.179
4610,1040,0.185
4620,1035,0.18
4630,1029,0.179
4640,1046,0.182
4650,1048,0.189
4660,1046,0.178
4670,1047,0.187
4680,1052,0.178
4690,1049,0.197
4700,1069,0.185
4710,1059,0.184
4720,1059,0.175
4730,1060,0.186
4740,1073,0.186
4750,1069,0.195
4760,1066,0.183
4770,1078,0.191
4780,1075,0.187
4790,1065,0.194
4800,1074,0.185
4810,1089,0.199
4820,1082,0.198
4830,1081,0.188
4840,1096,0.211
4850,1098,0.183
4860,1094,0.183
4870,1095,0.201
4880,1101,0.188
4890,1100,0.197
4900,1093,0.214
4910,1111,0.202
4920,1106,0.204
4930,1109,0.201
4940,1107,0.194
4950,1111,0.202
4960,1118,0.201
4970,1116,0.204
4980,1114,0.275
4990,1112,0.205
5000,1134,0.215
5010,1109,0.215
5020,1126,0.22
5030,1125,0.211
5040,1129,0.222
5050,1135,0.205
5060,1136,0.203
5070,1145,0.206
5080,1160,0.211
5090,1149,0.224
5100,1154,0.207
5110,1145,0.214
5120,1150,0.218
5130,1159,0.217
5140,1158,0.22
5150,1161,0.214
5160,1155,0.215
5170,1168,0.218
5180,1168,0.232
5190,1166,0.22
5200,1163,0.213
5210,1163,0.23
5220,1176,0.225
5230,1172,0.226
5240,1181,0.217
5250,1178,0.218
5260,1181,0.219
5270,1204,0.229
5280,1185,0.226
5290,1191,0.221
5300,1188,0.236
5310,1186,0.231
5320,1189,0.235
5330,1205,0.245
5340,1199,0.239
5350,1201,0.232
5360,1216,0.237
5370,1209,0.24
5380,1205,0.235
5390,1222,0.229
5400,1227,0.25
