LCS_Length,Generation_Time,LCS_Calculation_Time
0,0.000000,0.000000
2,0.000000,0.000000
2,0.000000,0.000000
8,0.000000,0.000000
11,0.000000,0.000000
22,0.000000,0.000000
41,0.000000,0.002000
68,0.000000,0.002000
72,0.000000,0.002000
84,0.000000,0.003000
109,0.000000,0.008000
127,0.000000,0.008000
137,0.000000,0.015000
150,0.000000,0.010000
